run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-filament-s_8-da90da2e7c,camp-filament-s_8,stalled,gel,vee,32,8,2,2,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-filament-seed_braid6-7fd8bf5fd0,camp-filament-seed_braid6,stalled,gel,braid6,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,9748,20813,3,2,5001,6,,,,1.1659782553825946,,,False,False,False,False,False
camp-filament-seed_vee-fda64fa700,camp-filament-seed_vee,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-seed_wedge4-c9c159243a,camp-filament-seed_wedge4,stalled,gel,wedge4,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,10986,9975,3,2,5164,4,,,,1.01904936099906,,,False,False,False,False,False
camp-filament-size-max_ticks_20000-9e68565aaf,camp-filament-size-max_ticks_20000,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-size-max_ticks_320000-c238f9962c,camp-filament-size-max_ticks_320000,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-size-max_ticks_5000-fa8c413243,camp-filament-size-max_ticks_5000,completed,soutenu,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,5000,7522,4,2,3970,3,,,,1.0208221740994647,,,False,False,False,False,False
camp-filament-size-max_ticks_80000-bc14c57592,camp-filament-size-max_ticks_80000,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-triadic-W_128-41c77d1222,camp-triadic-W_128,stalled,gel,vee,32,12,3,3,3,128,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-W_16-efe3639e5d,camp-triadic-W_16,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
